ComunidadID,PreguntaID,Pregunta,A,B,C,D
AND2021,16,"Los usuarios del Sistema Sanitario Público de Andalucía tienen derecho a solicitar
una segunda opinión médica, pero existen algunas limitaciones al ejercicio de este
derecho. ¿Cuál de las siguientes opciones no está contemplada?",Si el paciente requiere tratamiento urgente o inmediato.,"Si el paciente ha efectuado anteriormente otra solicitud de segunda opinión para el
mismo proceso asistencial.",Si se trata de una recidiva de un proceso oncológico maligno ya diagnosticado.,"Si la enfermedad ha sido diagnosticada en un centro no dependiente del Sistema
Sanitario Público de Andalucía."
AND2021,17,"Según la Ley 5/2003, de 9 de octubre, de declaración de voluntad vital anticipada,
su autor podrá manifestar:","Las opciones e instrucciones, expresas y previas, que, ante circunstancias clínicas que
le impidan manifestar su voluntad, deberá respetar el personal sanitario responsable de
su asistencia.","La designación de un representante, plenamente identificado, que será quien le
sustituya en el otorgamiento del consentimiento informado cuando proceda.",Su decisión respecto de la donación de sus órganos.,Todas son ciertas.
AND2021,18,"En el análisis poblacional, ¿cómo se denomina el balance entre nacimientos y
defunciones en Demografía Sanitaria?",Saldo o crecimiento vegetativo.,Saldo o crecimiento migratorio.,Saldo o crecimiento poblacional.,"Saldo o crecimiento demográfico.
Página 4 de 32"
AND2021,19,"¿Cuál de los siguientes grupos de indicadores no pueden considerarse
indicadores demográficos básicos para el Instituto Nacional de Estadística?",Natalidad.,Condiciones de vida.,Nupcialidad.,Crecimiento y Estructura de la Población.
AND2021,20,"Durante el año 2021, 360 de los 6.000 pacientes ingresados en un centro
hospitalario desarrollaron durante su ingreso una herida relacionada con la
dependencia. Se podría decir que este centro presentó:",Una incidencia de heridas relacionadas con la dependencia del 6%.,Una incidencia acumulada de heridas relacionadas con la dependencia del 6%.,Una prevalencia de heridas relacionadas con la dependencia del 6%.,"Una tasa de incidencia acumulada en el último año de heridas relacionadas con la
dependencia del 6%."
AND2021,21,"En el análisis de una distribución, si queremos saber si dos variables cualitativas
son independientes o están relacionadas y que por lo tanto una dependa o no de la
otra, debemos realizar la prueba:",T de Student.,Índice de correlación de Pearson.,F de Snedecor.,Chi Cuadrado.
AND2021,22,"En el seno de un proyecto de investigación, las variables nominales se consideran
variables:",Ordinales.,Cuantitativas discretas.,Cuantitativas continuas.,Cualitativas.
AND2021,23,"Para diseñar una estrategia de búsqueda bibliográfica una de las mejores opciones
es formular una pregunta clínica estructurada, dividida en componentes. Son las
denominadas preguntas PICO, que incluyen:","Paciente, intervención, comparativa y objetivos.","Problema, intervención, comparativa y objetivo.","Paciente, intervención, comparativa y resultado.","Problema, indicación, comparativa y resultado."
AND2021,24,"¿Cuál de las siguientes opciones no es un diseño específico de la investigación
cualitativa?",Diseño ecológico.,Diseño fenomenológico.,Diseño etnográfico.,"Diseño narrativo.
Página 5 de 32"
AND2021,25,"En diseños de investigación cualitativa que no impliquen la interacción directa de
los investigadores con los pacientes, sería cierto que:","No es necesario solicitar autorización al Comité de Ética de la Investigación biomédica
correspondiente.","En toda investigación es necesario solicitar autorización al Comité de Ética de la
Investigación biomédica correspondiente.","Solo se solicitaría autorización al Comité de Ética de la Investigación biomédica
correspondiente si cabe la posibilidad de que se produzca interacción o intervención con
los pacientes.",Ninguna es cierta.
AND2021,26,¿Para qué se utiliza la complejidad del Case-mix en la gestión de un hospital?,Para calcular costes por clasificación de pacientes.,Para elaborar programas de salud.,Para analizar problemas detectados.,Para realizar un mapeado de procesos.
AND2021,27,Podemos definir la Prevención Cuaternaria como:,"Las intervenciones que tienen como objetivo principal el impedir o retrasar el desarrollo
de una enfermedad.","Las intervenciones que tienen como objetivo promover hábitos y estilos de vida
saludables.","Las intervenciones que evitan o atenúan las consecuencias de la actividad innecesaria
o excesiva del sistema sanitario.","Las intervenciones que tienen como objetivo eliminar o reducir las consecuencias del
desarrollo de una enfermedad ya instaurada."
AND2021,28,La autoexploración mamaria se considera una medida de prevención:,Primaria.,Secundaria.,Terciaria.,Cuaternaria.
AND2021,29,"La esperanza de vida al nacimiento en un determinado país se considera un
indicador:",Demográfico.,Socioeconómico.,Del nivel de salud.,Medioambiental.
AND2021,30,"En el marco de los Procesos Asistenciales Integrados (PAI) de la Consejería de
Salud y Familias de la Junta de Andalucía, ¿cuál de los siguientes no es un proceso
de soporte?",Laboratorios clínicos.,Técnicas de imagen.,Nutrición clínica y dietética.,"Documentación clínica.
Página 6 de 32"
AND2021,31,"Según el Examen de Salud de mayores de 65 años, los grados de dependencia
funcional se corresponderían con:",Un test de Barthel de 0-60 puntos o Índice de Katz F-G.,Un test de Barthel de 0-50 puntos o Índice de Katz B-C.,Un test de Barthel de 0-60 puntos y Índice de Katz H-I.,Ninguna es correcta.
AND2021,32,"En el Sistema Sanitario Público de Andalucía, el acceso a la historia clínica en el
caso de los menores de edad, se regirá por lo siguiente:","Hasta los 12 años: la madre, padre o representante legal podrán acceder a la historia
clínica a través del procedimiento que reglamentariamente se determine.","Hasta los 14 años: la madre, padre o representante legal podrán acceder a la historia
clínica a través del procedimiento que reglamentariamente se determine.","Hasta los 16 años: la madre, padre o representante legal podrán acceder a la historia
clínica a través del procedimiento que reglamentariamente se determine.",Ninguna es correcta.
AND2021,33,Señala la respuesta que define el Principio de Autonomía en términos de Bioética:,"Debe minimizarse la posibilidad de realizar un daño o perjuicio físico, psicológico,
moral, económico o social innecesario a las personas o colectivos de personas, que es el
que no es adecuadamente compensado por los potenciales beneficios de las posibles
actuaciones.","Debe procurarse un reparto equitativo de los beneficios y las cargas, facilitando un
acceso no discriminatorio, adecuado y suficiente de las personas y comunidades a los
recursos disponibles, y un uso eficiente de los mismos.","Debe respetarse que las personas y las comunidades gestionen su propia vida y
tomen decisiones respecto a su salud y su enfermedad de manera informada.","Debe promocionarse el bienestar de las personas y las comunidades, cuidándoles y
ayudándoles para que realicen su propio proyecto de vida en la medida de lo posible."
AND2021,34,"Las funciones de la enfermera referente hospitalaria en el Sistema Sanitario
Público de Andalucía, entre otras, son:",Realizar la valoración integral de la persona.,Identificarse como tal en el primer contacto con la persona.,Es la responsable del control de todo el proceso de cuidados de la persona.,Todas son correctas.
AND2021,35,"Dentro de la Estrategia de Cuidados de Andalucía se ha creado un nuevo rol
profesional de Enfermería, con un perfil de competencias avanzado para dar
respuesta a las nuevas demandas de atención sanitaria. Indica cuál de las
siguientes figuras profesionales de competencias avanzadas, es incorrecta:",Enfermera Avanzada de Cuidados Paliativos (ECP).,"Enfermera referente para la atención ambulatoria del paciente con enfermedad renal
crónica avanzada (ERCA).",Enfermera de Práctica Avanzada en Cuidados Oncológicos.,"Enfermera de Práctica Avanzada en Geriatría.
Página 7 de 32"
AND2021,36,"¿Qué pacientes pueden ser incluidos en la telecontinuidad de cuidados mediante
seguimiento telefónico al alta del hospital?",Pacientes mayores de 80 años con medicación inyectable en el domicilio.,"Pacientes menores de edad que son dados de alta desde el hospital los fines de
semana.","Pacientes frágiles que son dados de alta desde las unidades de hospitalización
durante todos los fines de semana del año, festivos y vísperas que dan su consentimiento
para ello.",Todas las respuestas son correctas.
AND2021,37,"Cuando hablamos de las etapas del Proceso de Enfermería, es FALSO que:","En la etapa de Ejecución se llevan a cabo las intervenciones y se vuelve a valorar para
determinar la respuesta de la persona.",En la etapa de Planificación se recogen los datos sobre el estado de salud.,La etapa de Evaluación mide si la persona ha logrado los resultados esperados.,La etapa de Diagnóstico es el eje central del proceso enfermero.
AND2021,38,"¿Cuál es la teoría de desarrollo humano cuyos rasgos principales son: que es un
proceso constructivo, que presenta una interacción contínua entre hombre y medio
y donde el sujeto elabora estructuras que va cambiando a lo largo del desarrollo?",Teoría de Piaget.,Teoría de Vigotski.,Teoría cognitiva.,Teoría de la transformación.
AND2021,39,"Cuando se valora el entorno familiar de una persona y se diagnostica un problema
de “Afrontamiento familiar comprometido” es porque se identifica alguna de las
siguientes características definitorias:",Abandono.,"Conducta protectora de la persona de referencia, incongruente con las necesidades de
autonomía del paciente.",Indiferencia hacia las necesidades del paciente.,Desatención de las necesidades básicas del paciente.
AND2021,40,"¿Qué instrumento de valoración NO aporta datos de interés, para valorar el patrón
funcional “Rol-Relaciones”?",Cuestionario Apgar Familiar.,Cuestionario DUKE-UNC.,Escala de valoración socio-familiar.,Test de Yesavage.
AND2021,41,"¿Cuál de las siguientes autoras desarrolló una teoría de enfermería sobre el Déficit
de Autocuidado?",Dorothea Orem.,Callista Roy.,Hildegard Peplau.,"Madeleine Leininger.
Página 8 de 32"
AND2021,42,La Organización Mundial de la Salud define la Promoción de la Salud como:,"Las medidas destinadas a prevenir la aparición de la enfermedad, detener su avance y
atenuar sus consecuencias una vez establecida.","El proceso que permite a las personas incrementar el control sobre su salud para
mejorarla.","La consecución de un nivel de salud que permite llevar a todas las personas una vida
social y económicamente productiva.","La ciencia y el arte de promover la salud, prevenir la enfermedad y prolongar la vida
mediante esfuerzos organizados de la sociedad."
AND2021,43,"Respecto a la entrevista motivacional, señale la opción incorrecta:",Es importante conseguir que el paciente verbalice sus discrepancias.,Ayuda al paciente a encontrar sus propias motivaciones para el cambio.,"El profesional argumenta y discute con el paciente sobre la conveniencia y necesidad
de modificar la conducta.",Trata de persuadir al paciente para que se plantee cambios en salud.
AND2021,44,Con respecto a la comunicación eficaz con el paciente/cuidadora:,"El profesional de Enfermería debe adoptar una actitud empática, comprendiendo y
trasmitiendo esa empatía y comprensión.","Las fases del proceso de empatizar son: fase de identificación, de incorporación y
repercusión y fase de separación.","Debemos respetar al paciente, retirando aquellos sentimientos, actitudes o juicios
nocivos de valor, brindando asertividad y practicando la escucha activa.",Todas son correctas.
AND2021,45,"Según el vigente Plan de Gestión de Residuos del Servicio Andaluz de Salud, los
residuos de vacunas contra el COVID-19 de ARNm, deben tratarse como:",Residuos generales asimilables a urbanos. Grupo I.,Residuos sanitarios asimilables a urbanos. Grupo II.,Residuos peligrosos de origen sanitario. Grupo III.,Residuos peligrosos de origen no sanitario. Grupo V.
AND2021,46,¿Cuál de las siguientes vitaminas es liposoluble?,Vit D.,Vit A.,Vit K.,Todas son liposolubles.
AND2021,47,"¿Cuál de los siguientes es un efecto adverso del consumo continuado de
corticoides?",Glaucoma.,Insomnio.,Retención hidrosalina.,"Todas son efectos adversos.
Página 9 de 32"
AND2021,48,"¿Cuál de las siguientes soluciones puede mezclarse (compartir el mismo acceso
venoso) en una transfusión de hemoderivados?",Solución de Ringer lactato.,Solución glucosalina al 5%.,"Suero fisiológico al 0,9%.",Suero glucosado al 5%.
AND2021,49,"¿Cuál de las siguientes opciones no es correcta, atendiendo a la Guía
Farmacoterapéutica de Hospital del SSPA?",La digoxina y la amiodarona se podrán administrar por vía oral o parenteral.,"La digoxina será uno de los medicamentos de elección en casos de fibrilación auricular
y taquicardia paroxística supraventricular.",La adenosina es el fármaco de elección en casos de bradicardia sinusal severa.,"Se usará la dopamina y la dobutamina por vía parenteral en casos de insuficiencia
cardíaca."
AND2021,50,"En cuanto a la toxicidad y efectos colaterales de los fármacos, hay que tener en
cuenta diversos factores. Señale la correcta:",Los medicamentos antiepilépticos no alteran el sentido del gusto.,Los medicamentos anticolinérgicos no producen estreñimiento.,La cafeína aumenta los efectos adversos de fármacos estimulantes.,"La administración de medicamentos es independiente de la edad, sexo y estado
nutricional."
AND2021,51,"La seguridad del paciente es un principio fundamental del Sistema Sanitario
Público de Andalucía, que se desarrolla en el marco de su Plan Estratégico de
Calidad. En el año 2019 se publica La Estrategia para la Seguridad del Paciente del
SSPA, que define el Evento Adverso como:","Suceso o circunstancia que ha ocasionado un daño innecesario a un paciente como
consecuencia de la atención sanitaria.","Cualquier acontecimiento adverso prevenible que ocurra durante el uso de un
medicamento, produzca daño al paciente o no.","Existencia de cualquier modificación cualitativa o cuantitativa del efecto de un
medicamento debido a la coadministración de otro.","Es un error de prescripción donde existen prescripciones activas de al menos dos
principios activos del mismo subgrupo terapéutico."
AND2021,52,"A un paciente en Seguimiento Protocolizado del Tratamiento Farmacológico
Individualizado en Riesgo Vascular tratado con simvastatina de 40 mg/24horas por
vía oral, como estatina de elección por hipercolesterolemia, la enfermera debe
recomendarle que tome el fármaco:",Al menos media hora antes del desayuno en dosis única.,20 mg en desayuno y 20 mg en almuerzo.,20 mg en desayuno y 20 mg en la cena.,"Por la noche en dosis única.
Página 10 de 32"
AND2021,53,"¿Cuál de las siguientes afirmaciones no es correcta en relación a la perfusión
intravenosa de sueroterapia?",1 ml equivale a 20 gotas.,"Para perfundir 100 cc en 1 hora necesitaré una velocidad de perfusión de 33
gotas/min.","Para perfundir 3.000 cc de suero en 24 horas, necesitaré una velocidad de perfusión
de 42 gotas/min.",1 gota equivale a 5 microgotas.
AND2021,54,"Atendiendo a las recomendaciones sobre hábitos saludables en Atención Primaria
de nuestra Comunidad, el Método del plato de Harvard establece la siguiente
proporción de tipos de alimentos:","Un cuarto del plato de fruta, otro de verdura, otro de cereales (preferentemente
integrales) y otro de proteínas.","La mitad del plato de verduras, un cuarto de cereales (preferentemente integrales) y
fruta y otro de proteínas.","La mitad del plato de frutas y verduras, un cuarto de cereales (preferentemente
integrales) y otro cuarto de proteínas.",Ninguna de las proporciones es correcta.
AND2021,55,"¿Cuál de las siguientes opciones NO es una recomendación sobre la dieta para el
tratamiento de la obesidad?",Disminuir de 500-600 kcal/día sobre la ingesta habitual.,"El plan de alimentación propuesto debe adaptarse a las preferencias de cada paciente,
y ha de estar planificado para facilitar la adherencia a largo plazo.","La distribución de macronutrientes de la dieta se corresponde con 45-55% de hidratos
de carbono, 15-25% de grasas totales y 25-35 % de proteínas.","La disminución del tamaño de las raciones consumidas y/o de la densidad energética
de la dieta son medidas estratégicas efectivas para disminuir el peso en pacientes
obesos."
AND2021,56,"En cuanto a las características de la dieta hiperproteica (DHP), señale la opción
incorrecta:","Induce mayor pérdida de peso a largo plazo que una dieta convencional rica en
hidratos de carbono.","Favorece la preservación de la masa magra mejor que una dieta rica en hidratos de
carbono.","Puede inducir a corto plazo mayor pérdida de peso que una dieta convencional rica en
hidratos de carbono.","Pueden incrementar a largo plazo el riesgo de mortalidad, fundamentalmente cuando
la proteína es de origen animal.
Página 11 de 32"
AND2021,57,"Al realizar la valoración nutricional se observa un MNA (Mini Nutritional
Assessment) de 15 puntos. ¿Qué significa dicha puntuación?",Estado nutricional normal.,Riesgo de malnutrición.,Malnutrición.,Desnutrición.
AND2021,58,"Indica cuál de los siguientes es un instrumento de cribado para la detección de la
malnutrición en adultos:",BARBER,MUST,BRASS,BRADEN
AND2021,59,"¿Cuál de los siguientes es un criterio de hospitalización de una persona con
trastorno mental grave (TMG) en una Comunidad Terapéutica en Andalucía?","Cuando los ingresos de su entorno familiar (salario social) no alcanzan el 80% del
salario mínimo interprofesional.",Compromiso del estado general de la persona.,Cuando sus cuidadores son de edad avanzada.,Todos son criterios de hospitalización.
AND2021,60,"Entre los tratamientos financiados por el Servicio Andaluz de Salud para el
tratamiento farmacológico de la deshabituación tabáquica se encuentra:",Terapia sustitutiva con nicotina en presentación de parches.,Bupropion.,Terapia sustitutiva con nicotina en presentación de spray oral.,Ninguna de las opciones es correcta.
AND2021,61,"En la potenciación de estrategias farmacológicas específicas contra el tabaquismo,
¿qué opción NO corresponde con la terapia sustitutiva con nicotina (TSN)?","La cantidad de nicotina suministrada tiene que ser suficiente para evitar la aparición del
síndrome de abstinencia.","La cantidad de nicotina administrada tiene que ser adecuada para no producir una
dependencia superior a la del cigarrillo.","La administración se puede realizar por diferentes vías: cigarrillos electrónicos de
vapeo, chicles, parches, inhaladores y tabletas sublinguales.","La duración en el tiempo tiene que ser limitada.
Página 12 de 32"
AND2021,62,"Según la última actualización del ERC 2021 (European Resuscitation Council)
sobre las nuevas recomendaciones para la reanimación (RCP), los puntos claves a
seguir en el Soporte Vital Avanzado en el Adulto serán todas las siguientes,
excepto:","La prioridad son las compresiones torácicas de alta calidad con las mínimas
interrupciones posibles, la desfibrilación precoz y el tratamiento de las causas reversibles.","Para garantizar la permeabilidad de la vía aérea se procederá, de la forma más precoz
posible, a la intubación endotraqueal.",Se administrará adrenalina precozmente para la parada cardíaca no desfibrilable.,"En pacientes seleccionados, si es factible, se considerará la RCP extracorpórea como
terapia de rescate cuando el soporte vital avanzado fracase."
AND2021,63,"Una lesión en la piel que se caracteriza por estar circunscrita, elevada y sólida, con
un tamaño inferior a 10 mm de diámetro se denomina:",Pápula.,Mácula.,Nódulo.,Vesícula.
AND2021,64,"En la atención inicial y cuidados que debemos realizar a un gran quemado, indique
la que no es correcta:",Canalizar vía venosa y asegurar la vía aérea valorando la intubación orotraqueal.,"Reponer volumen con una solución de glucosa al 5% para asegurar una diuresis
aproximada de 50 ml/h.",Prevenir la hipotermia envolviendo en sábanas limpias y abrigando al quemado.,Calcular la superficie quemada y valorar la profundidad de las mismas.
AND2021,65,"En una cardioversión sincronizada, ¿con qué onda del EKG coincide la descarga
eléctrica?",Con la onda R.,Con la onda P.,Con la onda T.,"Con cualquiera de las anteriores, es indiferente ya que la cardioversión no necesita de
sincronización."
AND2021,66,"¿Qué posición de seguridad se recomienda a un paciente en caso de accidente con
pérdida de conocimiento y riesgo de vómitos?",Fowler.,Sims.,Rose.,"Tredelenburg.
Página 13 de 32"
AND2021,67,"Entre las características clínicas de osteomielitis en una úlcera del pie, NO se
encuentra:",Reacción inflamatoria aguda de la zona perilesional.,La visualización del hueso en la base de la úlcera.,Es posible contactar con el hueso mediante una sonda.,La supuración y fistulización mantenida en el tiempo.
AND2021,68,La primera opción para el tratamiento de la úlcera de etiología venosa es:,La cura en ambiente húmedo.,La terapia compresiva.,Establecer una pauta de cura diaria.,El tratamiento farmacológico.
AND2021,69,"Viene a la consulta de vacunas María, que tiene 19 años y no ha pasado la varicela.
Según el PVA (Plan de Vacunación Andaluz), ¿la vacunamos frente a la varicela?",No la vacunamos porque tiene más de 12 años.,"La vacunamos con dos dosis, separadas por un intervalo mínimo de 4 semanas.","La vacunamos con dos dosis, separadas por un intervalo de 6 meses.",Todas son falsas.
AND2021,70,"¿Cuál de los siguientes puntos NO está incluido en el ""Decálogo de la cadena de
frío"" publicado por el Comité Asesor de Vacunas de la Asociación Española de
Pediatría?","Debe existir en cada centro sanitario la figura de un coordinador (y un sustituto) que
sea responsable de la conservación, manipulación y almacenamiento de las vacunas.","El mantenimiento de la cadena de frío de las vacunas es una condición fundamental
para garantizar la efectividad del programa de inmunización.","La temperatura óptima de conservación para lograr el efecto protector y evitar
reacciones no deseables se encuentra entre -2 °C y +8 °C.","Cualquier alteración en la cadena de frío puede ocasionar la pérdida de la capacidad
inmunizante que es acumulativa, permanente, no se recupera y se incrementa con el
tiempo de exposición."
AND2021,71,Entre los principales determinantes sociales de la salud se encuentra:,Sistema sanitario.,Género.,Etnia.,"Todas son correctas.
Página 14 de 32"
AND2021,72,"Para el diagnóstico precoz de Displasia Evolutiva de la Cadera, marque la opción
FALSA:","Se realiza la exploración de caderas, abducción y asimetrías en todos los controles de
salud hasta la correcta deambulación.","Tras el periodo neonatal precoz, está indicado utilizar la maniobra de Ortolani y de
Barlow por su alta sensibilidad.",El clic de cadera debe ser considerado un hallazgo normal.,"Ante una exploración anormal entre las 4-8 semanas de vida, se realizará ecografía de
cadera."
AND2021,73,"Señala la respuesta incorrecta en relación a los signos/síntomas de la
deshidratación en pediatría:","Se considerará como deshidratación grave cuando el porcentaje de pérdida de peso
sea mayor de 9%.","Se considerará como deshidratación leve cuando el porcentaje de pérdida de peso
está entre el 5% - 9%.",Taquicardia y taquipnea son signos de deshidratación.,"El relleno capilar mayor de 2 segundos es un signo de shock clínico por
deshidratación."
AND2021,74,"¿Qué signo debe alertarnos en una visita de seguimiento infantil en nuestra
comunidad autónoma?",Ausencia de sedestación a los 6 meses.,Ausencia de volteo a los 6 meses.,Persistencia del reflejo de Moro a los 3 meses.,Presencia de asimetrías posturales.
AND2021,75,¿Cuál de los siguientes fármacos es un broncodilatador de acción corta?,Salbutamol.,Terbutalina.,Budesonida.,A y B son correctos.
AND2021,76,"Hay situaciones en las que es necesaria la extracción de la leche materna para un
uso posterior. En estos casos, la leche se puede mantener:",Sin refrigerar durante 6-8 horas si la temperatura ambiente es inferior a 29ºC.,Entre 5 y 8 días refrigerada de 0ºC a 4ºC.,De 3-6 meses correctamente congelada.,"Todos los supuestos anteriores son correctos.
Página 15 de 32"
AND2021,77,"Atendiendo al Programa de Salud Infantil y Adolescente de Andalucía (PSIA-A),
¿cuál de las siguientes afirmaciones es incorrecta respecto a la lactancia materna?","Durante el primer mes conviene que el bebé lacte a menudo (un mínimo de 8-12
veces), para lo cual es imprescindible establecer un horario de tomas que respeten el
descanso nocturno.","Se puede dejar al bebé lactar todo el tiempo que sea necesario en cada pecho, hasta
que el bebé se retire o se quede dormido.","La dieta de la madre lactante debe ser variada, saludable y agradable. Conviene beber
agua a menudo. Las bebidas excitantes como el café o refrescos de cola se deben evitar.
No se debe consumir alcohol ni tabaco.","La postura mejor es aquella en la que la madre está cómoda. Conviene que el cuerpo
del bebé esté frente al de la madre “barriga con barriga” y que no necesite girar la cabeza."
AND2021,78,Dentro del programa de Salud Bucodental infantil en Andalucía es cierto que:,"Tienen derecho a recibir asistencia dental básica y determinados tratamientos
especiales de forma gratuita a través de la Tarjeta Sanitaria Individual las personas de 6 a
15 años protegidas por el Sistema Sanitario Público de Andalucía.","El niño o niña tiene derecho a una revisión anual. El dentista de cabecera realizará un
seguimiento de aquellos niños con una especial predisposición a la caries, enfermedad
periodontal o maloclusiones. Y se encargara de sellado de fisuras o fosas en las piezas
permanentes sanas que evitará la aparición de caries, empastes de piezas permanentes
cuando ya existen caries, extracciones de piezas temporales, tartrectomía cuando se
detecte cálculo y/o pigmentaciones extrínsecas en dentición permanente.","No estará cubierto en el caso de tratamientos necesarios por causa de traumatismo,
de ortodoncia y reparación en la dentición temporal.",Todas son correctas.
